Gender;Age;Education_level;Employment_status;Income_group;Country;Household_members_number;Number_vehicles_household;Car_sharing_;Leisure_trips_number;Plan_to_purchase_vehicle;buy_electric
2;35;3;1;3;1;3;1;2;0;2;0
1;25;1;1;3;1;4;3;2;1;3;1
2;30;4;1;4;1;1;1;2;1;3;1
2;25;2;2;2;1;4;2;2;0;2;0
1;20;2;3;5;1;2;1;2;2;3;0
2;52;2;6;4;1;4;2;2;1;5;1
2;45;3;2;4;1;4;2;2;2;3;0
2;43;3;1;3;1;1;1;2;0;4;0
1;28;2;1;3;1;2;2;2;1;3;1
1;36;2;1;3;1;3;3;2;2;3;0
2;54;4;1;3;1;2;1;2;6;4;0
1;36;2;1;3;1;2;1;2;1;4;0
2;52;3;7;6;1;2;2;2;1;4;0
2;41;2;2;4;1;2;2;2;1;4;1
1;49;3;1;5;1;1;1;2;1;4;1
1;23;3;4;3;1;6;2;2;4;3;1
1;42;4;1;3;1;1;0;2;2;3;1
1;20;2;1;3;1;2;2;3;5;2;0
2;49;2;2;4;1;4;1;2;0;2;1
1;43;2;1;5;1;2;2;2;1;3;0
1;17;3;6;2;1;4;3;2;0;3;1
1;48;3;2;4;1;3;1;2;1;4;0
1;36;4;1;2;1;1;1;2;1;4;0
2;59;2;5;3;1;2;2;2;2;3;0
1;36;4;3;5;1;1;0;2;0;4;0
1;32;2;1;3;1;2;2;2;1;3;0
2;34;4;1;1;1;2;2;2;4;4;0
1;36;4;4;1;1;2;2;2;5;1;1
1;46;2;1;3;1;3;2;2;1;4;0
2;53;1;3;5;1;2;1;2;0;4;0
2;19;3;6;3;1;4;1;2;3;3;0
1;56;3;1;1;1;2;3;2;3;3;0
1;53;4;1;3;1;5;1;2;3;4;1
1;43;1;1;3;1;1;1;2;10;4;0
1;36;2;1;3;1;1;1;2;2;5;0
2;53;3;1;5;1;2;1;2;2;4;0
2;40;3;2;3;1;2;1;2;1;1;1
2;48;2;2;6;1;2;1;2;2;4;0
